rank,team,pi_home,pi_away,pi_composite,egm_vs_average,n_matches,last_match_date
1,France,1.1142,-0.1114,0.5014,0.5014,15,2026-06-16
2,England,1.0553,-0.1055,0.4749,0.4749,13,2026-06-17
3,Argentina,0.9365,-0.0937,0.4214,0.4214,12,2026-06-17
4,Germany,0.9197,-0.0920,0.4139,0.4139,7,2026-06-14
5,Sweden,0.7117,-0.0712,0.3202,0.3202,6,2026-06-15
6,Brazil,0.6312,-0.0631,0.2840,0.2840,11,2026-06-13
7,Colombia,0.5989,-0.0599,0.2695,0.2695,5,2026-06-18
8,Netherlands,0.5309,-0.0531,0.2389,0.2389,6,2026-06-14
9,Portugal,0.5218,-0.0522,0.2348,0.2348,10,2026-06-17
10,Spain,0.4910,-0.0491,0.2210,0.2210,9,2026-06-15
11,Norway,0.4500,-0.0450,0.2025,0.2025,1,2026-06-16
12,Austria,0.3000,-0.0300,0.1350,0.1350,1,2026-06-17
13,USA,0.2931,-0.0293,0.1319,0.1319,5,2026-06-13
14,Belgium,0.2913,-0.0291,0.1311,0.1311,11,2026-06-15
15,Russia,0.2376,-0.0238,0.1069,0.1069,5,2018-07-07
16,Uruguay,0.2084,-0.0208,0.0938,0.0938,9,2026-06-15
17,Scotland,0.1500,-0.0150,0.0675,0.0675,1,2026-06-14
18,Côte d'Ivoire,0.1491,-0.0149,0.0671,0.0671,1,2026-06-14
19,Peru,0.0642,-0.0064,0.0289,0.0289,3,2018-06-26
20,Cameroon,0.0380,-0.0038,0.0171,0.0171,3,2022-12-02
21,New Zealand,0.0051,-0.0005,0.0023,0.0023,1,2026-06-16
22,Japan,-0.0025,0.0002,-0.0011,-0.0011,9,2026-06-14
23,Cabo Verde,-0.0087,0.0009,-0.0039,-0.0039,1,2026-06-15
24,DR Congo,-0.0092,0.0009,-0.0041,-0.0041,1,2026-06-17
25,Switzerland,-0.0216,0.0022,-0.0097,-0.0097,10,2026-06-18
26,Mexico,-0.0295,0.0029,-0.0133,-0.0133,8,2026-06-11
27,Australia,-0.0479,0.0048,-0.0216,-0.0216,8,2026-06-14
28,Ghana,-0.0712,0.0071,-0.0321,-0.0321,4,2026-06-17
29,Ecuador,-0.0967,0.0097,-0.0435,-0.0435,4,2026-06-14
30,Nigeria,-0.1049,0.0105,-0.0472,-0.0472,3,2018-06-26
31,Czechia,-0.1178,0.0118,-0.0530,-0.0530,2,2026-06-18
32,Haiti,-0.1500,0.0150,-0.0675,-0.0675,1,2026-06-14
33,Morocco,-0.1724,0.0172,-0.0776,-0.0776,11,2026-06-13
34,South Korea,-0.2005,0.0200,-0.0902,-0.0902,8,2026-06-12
35,Denmark,-0.2324,0.0232,-0.1046,-0.1046,7,2022-11-30
36,South Africa,-0.2479,0.0248,-0.1116,-0.1116,2,2026-06-18
37,Iran,-0.2909,0.0291,-0.1309,-0.1309,7,2026-06-16
38,Türkiye,-0.2939,0.0294,-0.1322,-0.1322,1,2026-06-14
39,Croatia,-0.2986,0.0299,-0.1344,-0.1344,15,2026-06-17
40,Jordan,-0.3000,0.0300,-0.1350,-0.1350,1,2026-06-17
41,Uzbekistan,-0.3053,0.0305,-0.1374,-0.1374,1,2026-06-18
42,Iceland,-0.4117,0.0412,-0.1853,-0.1853,3,2018-06-26
43,Bosnia & Herzegovina,-0.4333,0.0433,-0.1950,-0.1950,2,2026-06-18
44,Egypt,-0.4394,0.0439,-0.1977,-0.1977,4,2026-06-15
45,Paraguay,-0.4472,0.0447,-0.2013,-0.2013,1,2026-06-13
46,Iraq,-0.4500,0.0450,-0.2025,-0.2025,1,2026-06-16
47,Algeria,-0.4586,0.0459,-0.2064,-0.2064,1,2026-06-17
48,Saudi Arabia,-0.5098,0.0510,-0.2294,-0.2294,7,2026-06-15
49,Poland,-0.5201,0.0520,-0.2340,-0.2340,7,2022-12-04
50,Canada,-0.5553,0.0555,-0.2499,-0.2499,4,2026-06-12
51,Serbia,-0.5680,0.0568,-0.2556,-0.2556,6,2022-12-02
52,Senegal,-0.5941,0.0594,-0.2673,-0.2673,8,2026-06-16
53,Qatar,-0.6455,0.0645,-0.2905,-0.2905,4,2026-06-13
54,Wales,-0.7055,0.0706,-0.3175,-0.3175,3,2022-11-29
55,Tunisia,-0.7613,0.0761,-0.3426,-0.3426,7,2026-06-15
56,Curaçao,-0.9003,0.0900,-0.4052,-0.4052,1,2026-06-14
57,Panama,-1.0857,0.1086,-0.4886,-0.4886,4,2026-06-17
58,Costa Rica,-1.1515,0.1152,-0.5182,-0.5182,6,2022-12-01
